Waktu,Nominal,Kode Ref,Tanggal ,App Pengirim,Nama Pengirim,App Tujuan,Nama Penerima,Confidence Score
2026-05-13 16:32:22,Rp 4.300.000,68c608bb,7 Jul 2019,(tidak terbaca),VANIA YONITA SUTANTO OVO,DANA,SULASMI  DKI,86%
2026-05-13 16:32:24,Rp 100.000,terangan,,Bank BRI,Jenis Transaksi  Tujuan Nomor Tujuan,DANA,Nomor Tujuan Nama Tujuan  Keterangan  No,86%
2026-05-13 16:33:24,Rp 500.000,917556678797,16 Oktober 2025,Bank BRI,REIHAN ABTA AFGHANI,DANA,RAHMAT SAFRIN DOMUT RD  BRI,100%
2026-05-13 16:33:24,Rp 5.000.000,ransaksi,03 April 2026,Bank BRI,RAFFI AHMAD  BRI c Tujuan NELLA RIZK,DANA,NELLA RIZKY NR  BRI  pues  Lihat Det,100%
2026-05-13 16:33:29,Rp 100.000,124084914111,11 April 2026,Bank BRI,ANDI SYAHKTY ALIFAH ASSALAM   BRI,DANA,DNID AHMXX RAJXX SAIXXXXXX pana DANA,100%
2026-05-13 16:33:30,Rp 50.000,648579438394,15 Februari 2024,Bank BRI,REIHAN ABTA AFGHANI,DANA,LA ODE MUALIM KHALIF LK  BRI,100%
2026-05-13 16:33:31,Rp 17.435,0320251114172710F,15 Nov 2025,(tidak terbaca),app GoPay,GoPay,Name AGENPULSAKU Merchant Location GIANY,86%
2026-05-13 16:33:37,Rp 100.000,terangan,,Bank BRI,Jenis Transaksi  Tujuan Nomor Tujuan,DANA,Nomor Tujuan Nama Tujuan  Keterangan  No,86%
2026-05-13 16:33:48,Rp 10.000.000,3A20CF77,02 Apr 2025,Bank BCA,Rekening,(tidak terbaca),CITI No,86%
2026-05-13 16:33:51,Rp 56.500,434064196066,26 Nov 2021,(tidak terbaca),MOH SLAMET SOBIRIN,DANA,CITI INDONESIA Nomor Tujuan,86%
