[2026-05-16 21:57:06] DITOLAK Skor 30% Nominal Rp0 Tagihan Rp0 Data {'docType': 'Bukti Pembayaran', 'nominal': '', 'rrn': '8848000008997201', 'tanggal': '', 'aplikasiAsal': 'Bank Mandiri', 'pengirim': '', 'aplikasiTujuan': '', 'penerima': '', 'confidence': 30}
[2026-05-16 21:57:07] DITOLAK Skor 30% Nominal Rp0 Tagihan Rp0 Data {'docType': 'Bukti Pembayaran', 'nominal': '', 'rrn': '8319001000010797', 'tanggal': '', 'aplikasiAsal': 'Bank BNI', 'pengirim': '', 'aplikasiTujuan': '', 'penerima': '', 'confidence': 30}
[2026-05-16 21:57:08] DITOLAK Skor 70% Nominal Rp5000 Tagihan Rp0 Data {'docType': 'Bukti Pembayaran', 'nominal': 'Rp5.000', 'rrn': '', 'tanggal': '', 'aplikasiAsal': '', 'pengirim': '', 'aplikasiTujuan': 'DANA', 'penerima': '', 'confidence': 70}
[2026-05-16 21:57:09] DITOLAK Skor 40% Nominal Rp101500 Tagihan Rp0 Data {'docType': 'Bukti Pembayaran', 'nominal': 'Rp101.500', 'rrn': '', 'tanggal': '', 'aplikasiAsal': '', 'pengirim': '', 'aplikasiTujuan': '', 'penerima': '', 'confidence': 40}
[2026-05-16 21:57:10] DITOLAK Skor 70% Nominal Rp20500000 Tagihan Rp0 Data {'docType': 'Bukti Pembayaran', 'nominal': 'Rp 20.500.000', 'rrn': '640901021790537', 'tanggal': '27 November 2025', 'aplikasiAsal': '', 'pengirim': '', 'aplikasiTujuan': '', 'penerima': '', 'confidence': 70}
[2026-05-16 21:57:10] DITOLAK Skor 70% Nominal Rp455000 Tagihan Rp0 Data {'docType': 'Bukti Pembayaran', 'nominal': 'Rp455.000', 'rrn': '', 'tanggal': '10/09/2023', 'aplikasiAsal': '', 'pengirim': '', 'aplikasiTujuan': '', 'penerima': '', 'confidence': 70}
[2026-05-16 21:57:11] DITOLAK Skor 30% Nominal Rp0 Tagihan Rp0 Data {'docType': 'Bukti Pembayaran', 'nominal': '', 'rrn': '', 'tanggal': '22/11/2014', 'aplikasiAsal': '', 'pengirim': '', 'aplikasiTujuan': '', 'penerima': '', 'confidence': 30}
[2026-05-16 21:57:12] DITOLAK Skor 70% Nominal Rp80000 Tagihan Rp0 Data {'docType': 'Bukti Pembayaran', 'nominal': 'Rp80.000', 'rrn': '9360084800000028366', 'tanggal': '24 Mei 2025', 'aplikasiAsal': '', 'pengirim': '', 'aplikasiTujuan': '', 'penerima': '', 'confidence': 70}
[2026-05-16 21:57:12] DITOLAK Skor 0% Nominal Rp0 Tagihan Rp0 Data {'docType': 'Bukti Pembayaran', 'nominal': '', 'rrn': '', 'tanggal': '', 'aplikasiAsal': 'Bank BNI', 'pengirim': '', 'aplikasiTujuan': '', 'penerima': '', 'confidence': 0}
[2026-05-16 21:57:12] DITOLAK Skor 30% Nominal Rp0 Tagihan Rp0 Data {'docType': 'Bukti Pembayaran', 'nominal': '', 'rrn': '041012207427', 'tanggal': '', 'aplikasiAsal': 'Bank BNI', 'pengirim': '', 'aplikasiTujuan': '', 'penerima': '', 'confidence': 30}
[2026-05-16 21:57:13] DITOLAK Skor 0% Nominal Rp0 Tagihan Rp0 Data {'docType': 'Bukti Pembayaran', 'nominal': '', 'rrn': '', 'tanggal': '', 'aplikasiAsal': '', 'pengirim': '', 'aplikasiTujuan': '', 'penerima': '', 'confidence': 0}
